id,label,type_colour
0,CNN Breaking News,0
1,Hillary Clinton,0
2,The Economist,0
3,Reuters,0
4,The Washington Post,0
5,J.K. Rowling,0
6,The Associated Press,0
7,White House Archived,0
8,Breaking News,0
9,The New Yorker,0
10,Ivanka Trump,0
11,Gary Lineker,0
12,Jeremy Clarkson,0
13,Piers Morgan,2
14,Financial Times,0
15,Alexandria Ocasio-Cortez,0
16,UK Prime Minister,0
17,WikiLeaks,2
18,Lord Sugar,0
19,Eddie Izzard,0
20,Emmanuel Macron,0
21,Stephanie Grisham,0
22,The Royal Family,0
23,POLITICO,0
24,Financial Times,0
25,Mayor of London,0
26,Nate Silver,0
27,Jemima Goldsmith,0
28,Kellyanne Conway,0
29,Guardian news,2
30,The Independent,0
31,Brian Cox,0
32,Arianna Huffington,0
33,The Telegraph,0
34,Daily Mail Online,0
35,Jeremy Corbyn,2
36,David Mitchell,0
37,Channel 4 News,2
38,ITV News,2
39,David Cameron,0
40,GOV UK,0
41,The Sun,0
42,UK Parliament,0
43,Boris Johnson,0
44,Nigel Farage,0
45,Jon Snow,2
46,The Times,0
47,richard bacon,2
48,Henry Winter,0
49,Metropolitan Police,0
50,Charlie Brooker,0
51,Maggie Haberman,0
52,European Commission 🇪🇺,0
53,David Axelrod,0
54,Charles Michel,0
55,Daily Mirror,0
56,Laura Kuenssberg,2
57,Sadiq Khan,2
58,Nicola Sturgeon,2
59,Robert Peston,0
60,Andrew Neil,2
61,Eamonn Holmes,2
62,Yanis Varoufakis,0
63,Nick Robinson,1
64,Owen Jones🌹,2
65,Foreign Office 🇬🇧,2
66,Home Office,0
67,Clarence House,0
68,Richard Osman,0
69,Anthony Scaramucci,0
70,David Frum,0
71,Caitlin Moran,0
72,Mehdi Hasan,1
73,Telegraph Breaking News,0
74,Ed Miliband,0
75,Jean-Claude Juncker,0
76,Rupert Murdoch,0
77,Jeremy Vine,2
78,Martin Schulz,0
79,Martin Lewis,0
80,BBC Politics,0
81,David Baddiel,0
82,Susanna Reid,2
83,Have I Got News For You,0
84,Armando Iannucci,0
85,BBC Newsnight,2
86,Paul Mason,2
87,Evening Standard,0
88,Graham Linehan,0
89,Good Morning Britain,0
90,David Lammy,2
91,Krishnan Guru-Murthy,2
92,James O'Brien,2
93,Hugh Grant,0
94,BBC Question Time,0
95,ALASTAIR CAMPBELL,0
96,Media Guardian,0
97,Evan Davis,0
98,BBC Radio 4,2
99,ben goldacre,2
100,Conservatives,2
101,Victoria Coren Mitchell,0
102,Carole Cadwalladr,2
103,Kay Burley,0
104,Caroline Lucas,2
105,David Schneider,2
106,Al Murray - DKMS.ORG.UK,0
107,Guy Verhofstadt,0
108,The Sunday Times,0
109,Andrew Rawnsley,1
110,HM Treasury,0
111,Nick Clegg,0
112,Daniel Finkelstein,2
113,Ministry of Justice,0
114,Chuka Umunna,2
115,Cabinet Office,0
116,Jacob Rees-Mogg,0
117,Chris Addison,0
118,Jess Phillips MP,2
119,Martha Kearney,0
120,DFID,0
121,EU Council Press,0
122,DfE,2
123,George Galloway,0
124,UK House of Commons,0
125,Faisal Islam,0
126,George Monbiot,0
127,Liberal Democrats,0
128,Keir Starmer,2
129,Diane Abbott MP,2
130,The Secret Barrister,2
131,Marina Hyde,2
132,Alex Salmond,0
133,Bank of England,2
134,William Hague,0
135,House of Lords,2
136,Leave.EU,2
137,David Miliband,0
138,Department of Health and Social Care,0
139,Office for National Statistics,2
140,Ed Balls,0
141,Yvette Cooper,2
142,John Prescott,2
143,The SNP,2
144,John McDonnell MP,2
145,Ian Dunt,1
146,Grace Dent,2
147,أبو عمّار,0
148,Jamie Ross,2
149,Guardian politics,2
150,mary beard,0
151,Femi,0
152,Leo Varadkar,0
153,Jim Waterson,0
154,UK Civil Service,0
155,George Osborne,0
156,Ministry of Defence 🇬🇧,0
157,Anne Applebaum,0
158,Fraser Nelson,2
159,Mishal Husain,0
160,CPS,2
161,POLITICO Europe,0
162,DWP Press Office,2
163,Rory Stewart,2
164,DCMS,2
165,Ash Sarkar,0
166,Andy Burnham,2
167,jon ronson,0
168,London Fire Brigade,2
169,emily m,2
170,UKIP,2
171,Tony Blair Institute,2
172,Douglas Murray,0
173,alan rusbridger,0
174,Kevin Maguire,1
175,HuffPost UK,2
176,Julia Hartley-Brewer,2
177,David Allen Green,0
178,YouGov,0
179,Chatham House,0
180,Jeremy Hunt,0
181,Anna Soubry,2
182,Emily Thornberry,2
183,Ruth Davidson,0
184,Cathy Newman,1
185,Michael Crick,0
186,Dept for BEIS,0
187,Iain Dale,0
188,BuzzFeed UK,0
189,Jeremy Bowen,2
190,Angela Rayner 🌈,2
191,Rory Cellan-Jones,2
192,New Statesman,2
193,Hugo Rifkind,0
194,Jo Maugham QC,2
195,Vince Cable,2
196,Sajid Javid,0
197,Jo Swinson,2
198,Niall Ferguson,0
199,Mhairi Black MP🏳️‍🌈,0
200,Harriet Harman,0
201,Beth Rigby,1
202,Polly Toynbee,2
203,Raheem Kassam,2
204,Adam Boulton,1
205,Michel Barnier,0
206,katya adler,2
207,India Knight,2
208,Hadley Freeman,2
209,Tim Montgomerie,2
210,The Spectator,2
211,lyse doucet,0
212,Paul Waugh,1
213,Sayeeda Warsi,2
214,Momentum,2
215,Isabel Hardman,1
216,Nick Ferrari,0
217,Tim Harford,0
218,Hilary Benn,2
219,People's Vote UK,2
220,Tom Holland,0
221,Andrew Marr,0
222,Nicky Campbell,0
223,No.10 Press Office,2
224,Simon Schama,0
225,The Daily Mash,0
226,Isabel Oakeshott,1
227,Michael Gove,2
228,Tom Newton Dunn,1
229,Daniel Hannan,0
230,Archbishop of Canterbury,0
231,Labour Press Team,0
232,Emma Barnett,2
233,martha lane fox,2
234,David Aaronovitch,0
235,Full Fact,2
236,Priti Patel,0
237,stellacreasy,2
238,Tim Shipman,1
239,Sophy Ridge,1
240,José Manuel Barroso,0
241,(((Dan Hodges))),0
242,Tulip Siddiq,2
243,John Rentoul,1
244,Guardian Opinion,0
245,Sam Coates Sky,1
246,Rebecca Long-Bailey,0
